Data;Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
2025-04-07;10:00;alicante;;FR 7833;;BZG
2025-04-07;15:00;warszawa;;LO 3994;;BZG
2025-04-07;22:15;londyn-stansted;;FR 2461;;BZG
2025-04-08;11:40;bristol;;FR 9504;;BZG
2025-04-08;15:00;warszawa;;LO 3994;;BZG
2025-04-08;16:00;marsa alam;;ENT 4219;;BZG
2025-04-08;20:25;londyn-luton;;FR 1641;;BZG
2025-04-09;09:40;birmingham;;FR 1213;;BZG
2025-04-09;15:00;warszawa;;LO 3994;;BZG
2025-04-09;22:15;londyn-stansted;;FR 2461;;BZG
2025-04-09;22:55;dublin;;FR 1893;;BZG
2025-04-11;10:10;londyn-luton;;FR 1641;;BZG
2025-04-11;15:00;warszawa;;LO 3994;;BZG
2025-04-11;22:35;birmingham;;FR 1213;;BZG
2025-04-11;23:45;londyn-stansted;;FR 2461;;BZG
2025-04-16;09:40;birmingham;;FR 1213;;BZG
2025-04-16;15:00;warszawa;;LO 3994;;BZG
2025-04-16;22:15;londyn-stansted;;FR 2461;;BZG
2025-04-16;22:55;dublin;;FR 1893;;BZG
2025-04-17;15:00;warszawa;;LO 3994;;BZG
2025-04-17;21:10;alicante;;FR 7833;;BZG
2025-04-18;10:10;londyn-luton;;FR 1641;;BZG
2025-04-18;15:00;warszawa;;LO 3994;;BZG
2025-04-18;22:35;birmingham;;FR 1213;;BZG
2025-04-18;23:45;londyn-stansted;;FR 2461;;BZG
