Data;Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
2025-04-03;13:05;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
2025-04-03;13:05;Dublin;RYANAIR;FR 1909;;"GDN"
2025-04-03;13:10;Wenecja treviso;RYANAIR;FR 1969;;"GDN"
2025-04-03;13:10;Aarhus;RYANAIR;FR 4970;;"GDN"
2025-04-03;13:15;Monachium;LUFTHANSA;LH 1643;;"GDN"
2025-04-03;13:25;Malaga;RYANAIR;FR 9918;;"GDN"
2025-04-03;13:30;Połąga;;RR 9395;;"GDN"
2025-04-03;13:35;Dusseldorf;EUROWINGS;EW 9737;;"GDN"
2025-04-03;13:35;Madera;WIZZ AIR;W6 1715;;"GDN"
2025-04-03;13:45;Reykjavik keflavik;;FI 5812;;"GDN"
2025-04-03;14:20;Amsterdam;KLM;KL 1306;;"GDN"
2025-04-03;14:30;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
2025-04-03;14:35;Stavanger;WIZZ AIR;W6 1747;;"GDN"
2025-04-03;14:50;Warszawa;LOT;LO3838;;"GDN"
2025-04-03;14:50;Hurghada;;QU 5821;;"GDN"
2025-04-03;15:10;Alicante;RYANAIR;FR 1425;;"GDN"
2025-04-03;15:40;Kopenhaga;SAS;SK 760;;"GDN"
2025-04-03;15:45;Akureyri;;FI 5813;;"GDN"
2025-04-03;16:05;Hurghada;;ENT7705;;"GDN"
2025-04-03;16:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
2025-04-03;16:30;Billund;;RC 9466;;"GDN"
2025-04-03;16:45;Hamburg;RYANAIR;FR 6119;;"GDN"
2025-04-03;16:50;Reykjavik keflavik;WIZZ AIR;W6 1773;;"GDN"
2025-04-03;17:15;Londyn stansted;RYANAIR;FR 532;;"GDN"
2025-04-03;18:00;Praga;RYANAIR;FR 1920;;"GDN"
2025-04-03;18:15;Amsterdam;KLM;KL 1308;;"GDN"
2025-04-03;18:20;Warszawa;LOT;LO3816;;"GDN"
2025-04-03;18:30;Barcelona el prat;WIZZ AIR;W6 1705;;"GDN"
2025-04-03;18:55;Alicante;WIZZ AIR;W6 1707;;"GDN"
2025-04-03;19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
2025-04-03;19:25;Kopenhaga;SAS;SK 758;;"GDN"
2025-04-03;20:10;Pafos;RYANAIR;FR 3553;;"GDN"
2025-04-03;20:10;Oslo torp;RYANAIR;FR 4942;;"GDN"
2025-04-03;20:20;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
2025-04-03;21:25;Warszawa;LOT;LO3826;;"GDN"
2025-04-03;21:45;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
2025-04-03;21:50;Oslo gardermoen;Norwegian;DY 1055;;"GDN"
2025-04-03;22:10;Kopenhaga;RYANAIR;FR 6844;;"GDN"
2025-04-03;22:40;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
2025-04-03;23:00;Manchester;RYANAIR;FR 4095;;"GDN"
2025-04-04;05:40;Warszawa;LOT;LO3828;;"GDN"
2025-04-04;05:45;Praga;RYANAIR;FR 1920;;"GDN"
2025-04-04;05:45;Cork;RYANAIR;FR 8782;;"GDN"
2025-04-04;05:45;Liverpool;WIZZ AIR;W6 1611;;"GDN"
2025-04-04;05:50;Barcelona el prat;RYANAIR;FR 334;;"GDN"
2025-04-04;06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
2025-04-04;06:00;Kopenhaga;SAS;SK 1758;;"GDN"
2025-04-04;06:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
2025-04-04;06:05;Bergen;WIZZ AIR;W6 1757;;"GDN"
2025-04-04;06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
2025-04-04;06:20;Amsterdam;KLM;KL 1302;;"GDN"
2025-04-04;06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
2025-04-04;06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
2025-04-04;06:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
2025-04-04;07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
2025-04-04;07:20;Goteborg;RYANAIR;FR 6095;;"GDN"
2025-04-04;08:05;Wrocław;RYANAIR;FR 4106;;"GDN"
2025-04-04;08:30;Skelleftea;RYANAIR;FR 8588;;"GDN"
2025-04-04;08:40;Helsinki;FINNAIR;AY 1176;;"GDN"
2025-04-04;08:45;Warszawa;LOT;LO3832;;"GDN"
2025-04-04;09:00;Oslo torp;RYANAIR;FR 3277;;"GDN"
2025-04-04;09:05;Oslo gardermoen;Norwegian;DY 1051;;"GDN"
2025-04-04;09:15;Zadar;RYANAIR;FR 8677;;"GDN"
2025-04-04;09:25;Zurych;;LX 1381;;"GDN"
2025-04-04;09:35;Leeds;RYANAIR;FR 1504;;"GDN"
2025-04-04;10:05;Paryż beauvais;WIZZ AIR;W6 1631;;"GDN"
2025-04-04;10:10;Kopenhaga;SAS;SK 756;;"GDN"
2025-04-04;10:55;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
2025-04-04;11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
2025-04-04;11:50;Amsterdam;KLM;KL 1304;;"GDN"
2025-04-04;12:00;Warszawa;LOT;LO3836;;"GDN"
2025-04-04;12:25;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
2025-04-04;12:50;Bergen;Norwegian;DY 1031;;"GDN"
2025-04-04;12:50;Neapol;RYANAIR;FR 1896;;"GDN"
2025-04-04;13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
2025-04-04;13:15;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
