Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
19:15;Londyn luton;WIZZ AIR;W6 1607A;;"GDN"
14:20;Amsterdam;KLM;KL 1306;;"GDN"
14:50;Zurych;;LX 1381;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"
16:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
16:15;Akureyri;;FI 5812;;"GDN"
16:15;Londyn stansted;RYANAIR;FR 532;;"GDN"
16:40;Kraków;RYANAIR;FR 236;;"GDN"
16:40;Malaga;WIZZ AIR;W6 1613;;"GDN"
16:50;Hamburg;WIZZ AIR;W6 1675;;"GDN"
16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
17:00;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
17:20;Edynburg;RYANAIR;FR 6123;;"GDN"
18:10;Larnaka;WIZZ AIR;W6 1791;;"GDN"
18:15;Amsterdam;KLM;KL 1308;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:25;Oslo torp;RYANAIR;FR 4942;;"GDN"
18:45;Ryga;RYANAIR;FR 6370;;"GDN"
19:05;Rzym fiumicino;WIZZ AIR;W6 1699;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:25;Kopenhaga;SAS;SK 758;;"GDN"
20:20;Goteborg;WIZZ AIR;W6 1735;;"GDN"
20:30;Helsinki;FINNAIR;AY 1174;;"GDN"
21:25;Warszawa;LOT;LO3826;;"GDN"
22:00;Oslo gardermoen;Norwegian;DY 1055;;"GDN"
22:25;Reykjavik keflavik;;FI 5813;;"GDN"
22:40;Kopenhaga;RYANAIR;FR 6844;;"GDN"
22:50;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
23:00;Zadar;RYANAIR;FR 8677;;"GDN"
02:55;Hurghada;;ENT4037;;"GDN"
05:40;Warszawa;LOT;LO3828;;"GDN"
05:45;Oslo torp;RYANAIR;FR 3277;;"GDN"
05:45;Piza;RYANAIR;FR 4442;;"GDN"
05:45;Edynburg;RYANAIR;FR 6123;;"GDN"
06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
06:00;Kopenhaga;SAS;SK 1758;;"GDN"
06:00;Mediolan malpensa;WIZZ AIR;W6 1713;;"GDN"
06:05;Hamburg;WIZZ AIR;W6 1675;;"GDN"
06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
06:20;Amsterdam;KLM;KL 1302;;"GDN"
06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
06:40;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
06:45;Belfast;RYANAIR;FR 9608;;"GDN"
07:10;Trondheim;WIZZ AIR;W6 1761;;"GDN"
