Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
10:20;Alesund vigra;WIZZ AIR;W6 1765;;"GDN"
10:30;Antalia;;ENT7935;;"GDN"
10:55;Piza;RYANAIR;FR 4442;;"GDN"
11:05;Växjö-smaland;RYANAIR;FR 7271;;"GDN"
11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
11:50;Amsterdam;KLM;KL 1304;;"GDN"
12:00;Helsinki;FINNAIR;AY 1176;;"GDN"
12:00;Warszawa;LOT;LO3836;;"GDN"
12:10;Haugesund;WIZZ AIR;W6 1749;;"GDN"
13:00;Teneryfa południe;WIZZ AIR;W6 1709;;"GDN"
13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
14:15;Marsa alam;;ENT7843;;"GDN"
14:25;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
14:25;Kopenhaga;SAS;SK 760;;"GDN"
14:40;Podgorica;RYANAIR;FR 1936;;"GDN"
14:40;Rzym ciampino;RYANAIR;FR 9922;;"GDN"
14:50;Warszawa;LOT;LO3838;;"GDN"
15:05;Praga;RYANAIR;FR 1920;;"GDN"
15:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
16:25;Edynburg;RYANAIR;FR 6123;;"GDN"
16:30;Turku;WIZZ AIR;W6 1751;;"GDN"
16:40;Malaga;RYANAIR;FR 9918;;"GDN"
16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
17:05;Alicante;RYANAIR;FR 1425;;"GDN"
17:05;Tromso;WIZZ AIR;W6 1771;;"GDN"
18:20;Warszawa;LOT;LO3816;;"GDN"
18:25;Amsterdam;KLM;KL 1308;;"GDN"
18:30;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
18:30;Barcelona el prat;WIZZ AIR;W6 1705;;"GDN"
18:50;Bristol;RYANAIR;FR 8255;;"GDN"
18:55;Alicante;WIZZ AIR;W6 1707;;"GDN"
19:05;Dublin;RYANAIR;FR 7441;;"GDN"
19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
19:20;Mediolan malpensa;WIZZ AIR;W6 1713;;"GDN"
19:55;Leeds;RYANAIR;FR 1504;;"GDN"
20:25;Oslo torp;RYANAIR;FR 3277;;"GDN"
20:40;Stavanger;WIZZ AIR;W6 1747;;"GDN"
20:45;Antalia;;ENT7061;;"GDN"
21:00;Manchester;RYANAIR;FR 4095;;"GDN"
21:25;Kraków;RYANAIR;FR 236;;"GDN"
21:25;Warszawa;LOT;LO3826;;"GDN"
22:00;Londyn stansted;RYANAIR;FR 592;;"GDN"
23:00;Ryga;RYANAIR;FR 6370;;"GDN"
23:10;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
23:35;Bratysława;RYANAIR;FR 6827;;"GDN"
