Data;Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
2025-04-03;00:05;TEL AVIV (TLV);;LO 159;;"KRK"
2025-04-03;12:30;HELSINKI (HEL);;AY 1166;;"KRK"
2025-04-03;12:40;MANCHESTER (MAN);;FR 2142;;"KRK"
2025-04-03;12:50;DUBAJ (DXB);;FZ 1788;;"KRK"
2025-04-03;12:50;EINDHOVEN (EIN);;W6 2075;;"KRK"
2025-04-03;13:00;ANKONA (AOI);;FR 4490;;"KRK"
2025-04-03;13:05;STAVANGER (SVG);;DY 1037;;"KRK"
2025-04-03;13:05;OSLO GARDERMOEN (OSL);;W6 2033;;"KRK"
2025-04-03;13:10;GDAŃSK (GDN);;FR 237;;"KRK"
2025-04-03;13:10;ZADAR (ZAD);;FR 7273;;"KRK"
2025-04-03;13:10;TIRANA (TIA);;FR 8402;;"KRK"
2025-04-03;13:20;PARYŻ BEAUVAIS (BVA);;FR 3699;;"KRK"
2025-04-03;13:25;MONACHIUM (MUC);;LH 1623;;"KRK"
2025-04-03;13:30;WARSZAWA (WAW);;LO 3920;;"KRK"
2025-04-03;13:45;SHARJAH (SHJ);;G9 731;;"KRK"
2025-04-03;14:00;KOPENHAGA (CPH);;D8 3563;;"KRK"
2025-04-03;14:00;AMSTERDAM (AMS);;KL 1326;;"KRK"
2025-04-03;14:05;FRANKFURT (FRA);;LH 1367;;"KRK"
2025-04-03;14:15;WENECJA TREVISO (TSF);;FR 3037;;"KRK"
2025-04-03;14:35;EDYNBURG (EDI);;FR 6625;;"KRK"
2025-04-03;14:35;WIEDEŃ (VIE);;OS 598;;"KRK"
2025-04-03;14:50;ZURYCH (ZRH);;LX 1373;;"KRK"
2025-04-03;14:55;LONDYN STANSTED (STN);;FR 2433;;"KRK"
2025-04-03;14:55;WARSZAWA (WAW);;LO 3906;;"KRK"
2025-04-03;14:55;ANKARA (ESB);;PC 1748;;"KRK"
2025-04-03;15:15;MALAGA (AGP);;W6 2073;;"KRK"
2025-04-03;15:35;DUSSELDORF (DUS);;EW 9733;;"KRK"
2025-04-03;15:40;PORTO (OPO);;FR 3047;;"KRK"
2025-04-03;15:45;MALAGA (AGP);;FR 2589;;"KRK"
2025-04-03;15:55;KOPENHAGA (CPH);;FR 2724;;"KRK"
2025-04-03;16:00;BERGEN (BGO);;DY 1029;;"KRK"
2025-04-03;16:05;TEL AVIV (TLV);;FR 345;;"KRK"
2025-04-03;16:20;CASTELLON (CDT);;FR 9017;;"KRK"
2025-04-03;16:25;RYGA (RIX);;FR 5428;;"KRK"
2025-04-03;16:30;EINDHOVEN (EIN);;FR 042;;"KRK"
2025-04-03;16:40;MONACHIUM (MUC);;EN 8343;;"KRK"
2025-04-03;16:45;WALENCJA (VLC);;W6 2079;;"KRK"
2025-04-03;17:00;PARYŻ ORLY (ORY);;LO 337;;"KRK"
2025-04-03;17:20;RODOS (RHO);;FR 7040;;"KRK"
2025-04-03;17:25;RZYM CIAMPINO (CIA);;FR 1469;;"KRK"
2025-04-03;17:40;BIRMINGHAM (BHX);;FR 1466;;"KRK"
2025-04-03;17:55;AMSTERDAM (AMS);;KL 1328;;"KRK"
2025-04-03;18:05;LONDYN GATWICK (LGW);;W6 2009;;"KRK"
2025-04-03;18:25;MALTA (MLA);;FR 7115;;"KRK"
2025-04-03;18:25;WARSZAWA (WAW);;LO 3924;;"KRK"
2025-04-03;18:30;BOLONIA (BLQ);;FR 3799;;"KRK"
2025-04-03;18:40;RZYM FIUMICINO (FCO);;W6 2061;;"KRK"
2025-04-03;18:55;HELSINKI (HEL);;AY 1164;;"KRK"
2025-04-03;19:00;BARCELONA GIRONA (GRO);;FR 8672;;"KRK"
2025-04-03;19:00;AMSTERDAM (AMS);;KL 1330;;"KRK"
2025-04-03;19:05;FRANKFURT (FRA);;LH 1369;;"KRK"
