Data;Czas;Kierunek;Rejs;;Lotnisko wylotowe
2025-04-15;10:50;KOPENHAGA (CPH);FR 2724;;"KRK"
2025-04-15;10:50;PRAGA (PRG);FR 4070;;"KRK"
2025-04-15;10:55;NEAPOL (NAP);FR 4046;;"KRK"
2025-04-15;11:00;BELFAST (BFS);EZY 3054;;"KRK"
2025-04-15;11:10;MALAGA (AGP);FR 2589;;"KRK"
2025-04-15;11:20;RZYM CIAMPINO (CIA);FR 1469;;"KRK"
2025-04-15;11:30;FRANKFURT (FRA);LH 1363;;"KRK"
2025-04-15;11:35;ALICANTE (ALC);FR 6355;;"KRK"
2025-04-15;11:50;AMSTERDAM (AMS);KL 1324;;"KRK"
2025-04-15;12:10;MARRAKESZ (RAK);FR 7102;;"KRK"
2025-04-15;12:15;WARSZAWA (WAW);LO 3908;;"KRK"
2025-04-15;12:20;BARI (BRI);FR 2722;;"KRK"
2025-04-15;12:20;WENECJA TREVISO (TSF);FR 3037;;"KRK"
2025-04-15;12:25;OSLO GARDERMOEN (OSL);DY 1041;;"KRK"
2025-04-15;12:30;HELSINKI (HEL);AY 1166;;"KRK"
2025-04-15;12:45;PRAGA (PRG);FR 4077;;"KRK"
2025-04-15;12:50;DUBAJ (DXB);FZ 1788;;"KRK"
2025-04-15;12:50;EINDHOVEN (EIN);W6 2075;;"KRK"
2025-04-15;13:05;STAVANGER (SVG);DY 1037;;"KRK"
2025-04-15;13:05;GÖTEBORG LANDVETTER (GOT);FR 4010;;"KRK"
2025-04-15;13:05;OSLO GARDERMOEN (OSL);W6 2033;;"KRK"
2025-04-15;13:10;PESCARA (PSR);FR 3045;;"KRK"
2025-04-15;13:25;LONDYN GATWICK (LGW);EZY 8822;;"KRK"
2025-04-15;13:25;MONACHIUM (MUC);LH 1623;;"KRK"
2025-04-15;13:30;WARSZAWA (WAW);LO 3920;;"KRK"
2025-04-15;13:50;LONDYN HEATHROW (LHR);BA 873;;"KRK"
2025-04-15;14:00;AMSTERDAM (AMS);KL 1326;;"KRK"
2025-04-15;14:05;RYGA (RIX);FR 5428;;"KRK"
2025-04-15;14:05;FRANKFURT (FRA);LH 1367;;"KRK"
2025-04-15;14:10;BOLONIA (BLQ);W6 2059;;"KRK"
2025-04-15;14:35;PODGORICA (TGD);FR 7933;;"KRK"
2025-04-15;14:35;WIEDEŃ (VIE);OS 598;;"KRK"
2025-04-15;14:55;WARSZAWA (WAW);LO 3906;;"KRK"
2025-04-15;15:15;MEDIOLAN BERGAMO (BGY);FR 3536;;"KRK"
2025-04-15;15:15;BUKARESZT BANEASA (BBU);W6 2057;;"KRK"
2025-04-15;15:20;PARYŻ BEAUVAIS (BVA);FR 3699;;"KRK"
2025-04-15;15:25;CATANIA (CTA);FR 2726;;"KRK"
2025-04-15;15:35;LONDYN STANSTED (STN);FR 2363;;"KRK"
2025-04-15;15:40;PARYŻ (CDG);EJU 4668;;"KRK"
2025-04-15;15:40;EINDHOVEN (EIN);FR 042;;"KRK"
2025-04-15;16:00;BIRMINGHAM (BHX);FR 1466;;"KRK"
2025-04-15;16:05;BRUKSELA CHARLEROI (CRL);FR 4935;;"KRK"
2025-04-15;16:25;RZYM CIAMPINO (CIA);FR 083;;"KRK"
2025-04-15;16:35;WALENCJA (VLC);FR 2229;;"KRK"
2025-04-15;16:35;SZCZECIN (SZZ);FR 6230;;"KRK"
2025-04-15;16:40;MONACHIUM (MUC);EN 8343;;"KRK"
2025-04-15;16:55;BARCELONA GIRONA (GRO);FR 8672;;"KRK"
2025-04-15;17:00;DUBROWNIK (DBV);FR 5917;;"KRK"
2025-04-15;17:00;PARYŻ ORLY (ORY);LO 337;;"KRK"
