Data;Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
2025-04-15;10:50;Eindhoven;WIZZ AIR;W6 1071;;"KTW"
2025-04-15;11:25;Gran Canaria - Las Palmas;ENTER AIR;ENT 7023;;"KTW"
2025-04-15;11:55;Alghero;RYANAIR;FR 4179;;"KTW"
2025-04-15;12:10;Katania;RYANAIR;FR 6373;;"KTW"
2025-04-15;12:15;Manchester;RYANAIR;FR 6403;;"KTW"
2025-04-15;12:30;Madera;ELECTRA AIRWAYS;AMQ 252;;"KTW"
2025-04-15;12:30;Barcelona;WIZZ AIR;W6 1175;;"KTW"
2025-04-15;12:50;Alicante;WIZZ AIR;W6 1075;;"KTW"
2025-04-15;12:55;Mediolan - Bergamo;RYANAIR;FR 3409;;"KTW"
2025-04-15;14:35;Dublin;RYANAIR;FR 5347;;"KTW"
2025-04-15;14:45;Frankfurt;AIR DOLOMITI;EN 8761;;"KTW"
2025-04-15;14:55;Warszawa;LOT;LO 3884;;"KTW"
2025-04-15;15:15;Reykjavik - Keflavik;WIZZ AIR;W6 1167;;"KTW"
2025-04-15;15:45;Dortmund;WIZZ AIR;W6 1093;;"KTW"
2025-04-15;15:50;Malta;WIZZ AIR;W6 1163;;"KTW"
2025-04-15;17:20;Oslo Gardermoen;RYANAIR;FR 7100;;"KTW"
2025-04-15;18:00;Bruksela;RYANAIR;FR 6264;;"KTW"
2025-04-15;18:20;Warszawa;LOT;LO 3886;;"KTW"
2025-04-15;19:55;Reggio Calabria;RYANAIR;FR 7104;;"KTW"
2025-04-15;20:00;Rzym - Fiumicino;WIZZ AIR;W6 1045;;"KTW"
2025-04-15;20:15;Split;WIZZ AIR;W6 1267;;"KTW"
2025-04-15;02:40;Sharm El Sheikh;SKYUP EUROPE;U5 7345;;"KTW"
2025-04-15;03:15;Antalia;MAVI GOK AIRLINES;4M 874;;"KTW"
2025-04-15;05:00;Antalia;ENTER AIR;ENT 4777;;"KTW"
2025-04-15;05:40;Warszawa;LOT;LO 3880;;"KTW"
2025-04-15;05:45;Forli;RYANAIR;FR 1036;;"KTW"
2025-04-15;06:00;Antalia;ENTER AIR;ENT 4785;;"KTW"
