Data;Czas;Kierunek;Przewoznik;Rejs;Status;;Lotnisko wylotowe
2025-04-19;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-04-22;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-04-26;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-04-29;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
undefined;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-04-03;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-04-06;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-03;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-06;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-10;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-13;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-13;19:10;Antalia (AYT);LOT;LO6114;0;;"RDO"
2025-05-17;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-20;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-24;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
