Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
16:45;WARSZAWA;PLL LOT;LO3808;;"RZE"
16:50;MANCHESTER;RYANAIR;FR3203;;"RZE"
17:00;MEDIOLAN;WIZZ AIR;W46354;;"RZE"
18:20;ZADAR;RYANAIR;FR9399;;"RZE"
21:15;MALTA;RYANAIR;FR3864;;"RZE"
21:45;LONDYN (Stansted);RYANAIR;FR2135;;"RZE"
22:30;BRISTOL;RYANAIR;FR8225;;"RZE"
22:50;HURGHADA;SKYUP;U58655;;"RZE"
23:00;SHARM EL SHEIKH;SKYUP;U57551;;"RZE"
05:45;WARSZAWA;PLL LOT;LO3804;;"RZE"
06:00;MONACHIUM;LUFTHANSA;LH1607;;"RZE"
08:50;WARSZAWA;PLL LOT;LO3806;;"RZE"
