Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
08:50;WARSZAWA;PLL LOT;LO3806;;"RZE"
10:40;LONDYN (Stansted);RYANAIR;FR2135;;"RZE"
12:00;WARSZAWA;PLL LOT;LO3810;;"RZE"
13:00;MONACHIUM;LUFTHANSA;LH1605;;"RZE"
13:40;MEDIOLAN;WIZZ AIR;W46354;;"RZE"
15:00;WARSZAWA;PLL LOT;LO3802;;"RZE"
16:45;WARSZAWA;PLL LOT;LO3808;;"RZE"
19:35;MANCHESTER;RYANAIR;FR3203;;"RZE"
19:45;DUBLIN;RYANAIR;FR863;;"RZE"
20:55;MARSA ALAM INTL;ENTER AIR;ENT4757;;"RZE"
21:40;LONDYN (Luton);RYANAIR;FR3473;;"RZE"
23:00;SHARM EL SHEIKH;SKYUP;U57551;;"RZE"
