Data;Czas;Kierunek;Przewoznik;Rejs;Status;;Lotnisko wylotowe
2025-04-17;05:35;Larnaca (LCA);Wizz Air;W6 1551;0;;"WAW"
2025-04-17;05:40;Rzym (FCO);Wizz Air;W6 1441;0;;"WAW"
2025-04-17;05:45;Nykoping-Skavsta (NYO);Wizz Air;W6 1501;0;;"WAW"
2025-04-17;05:50;Liverpool (LPL);Wizz Air;W6 1311;0;;"WAW"
2025-04-17;05:55;Salalah (SLL);Enter Air;ENT5601;0;;"WAW"
2025-04-17;06:00;Amsterdam (AMS);KLM;KL 1310;0;;"WAW"
2025-04-17;06:00;Londyn-Luton (LTN);Wizz Air;W6 1301;0;;"WAW"
2025-04-17;06:00;Monachium (MUC);Lufthansa;LH 1617;0;;"WAW"
2025-04-17;06:00;Walencja (VLC);Wizz Air;W6 1337;0;;"WAW"
2025-04-17;06:05;Paryż (CDG);Air France;AF 1247;0;;"WAW"
2025-04-17;06:10;Tel Awiw (TLV);Wizz Air;W6 1559;0;;"WAW"
2025-04-17;06:15;Antalia (AYT);LOT;LO 7421;0;;"WAW"
2025-04-17;06:20;Bergamo (BGY);Wizz Air;W6 1431;0;;"WAW"
2025-04-17;06:25;Frankfurt (FRA);Lufthansa;LH 1353;0;;"WAW"
2025-04-17;06:40;Kopenhaga (CPH);Wizz Air;W6 1367;0;;"WAW"
2025-04-17;06:45;Rodos (RHO);Enter Air;ENT7943;0;;"WAW"
2025-04-17;06:50;Bruksela (BRU);Brussels Airlines;SN 2560;0;;"WAW"
2025-04-17;06:50;Wiedeń (VIE);Austrian;OS 628;0;;"WAW"
2025-04-17;07:00;Jerez de la Frontera (XRY);Enter Air;ENT7025;0;;"WAW"
2025-04-17;07:05;Alicante (ALC);Wizz Air;W6 1487;0;;"WAW"
2025-04-17;07:05;Bari (BRI);Wizz Air;W6 1339;0;;"WAW"
2025-04-17;07:05;Szczecin (SZZ);LOT;LO 3931;0;;"WAW"
2025-04-17;07:10;Gdańsk (GDN);LOT;LO 3831;0;;"WAW"
2025-04-17;07:10;Wiedeń (VIE);LOT;LO 223;0;;"WAW"
2025-04-17;07:10;Wrocław (WRO);LOT;LO 3851;0;;"WAW"
2025-04-17;07:15;Bruksela (BRU);LOT;LO 235;0;;"WAW"
2025-04-17;07:15;Rzym (FCO);LOT;LO 301;0;;"WAW"
2025-04-17;07:20;Amsterdam (AMS);LOT;LO 265;0;;"WAW"
2025-04-17;07:20;Genewa (GVA);LOT;LO 417;0;;"WAW"
2025-04-17;07:20;Paryż (CDG);LOT;LO 331;0;;"WAW"
2025-04-17;07:25;Londyn-Heathrow (LHR);LOT;LO 281;0;;"WAW"
2025-04-17;07:35;Mediolan (MXP);LOT;LO 317;0;;"WAW"
2025-04-17;07:35;Monachium (MUC);LOT;LO 351;0;;"WAW"
2025-04-17;07:35;Zurych (ZRH);LOT;LO 411;0;;"WAW"
2025-04-17;07:40;Dusseldorf (DUS);LOT;LO 403;0;;"WAW"
2025-04-17;07:40;Luksemburg (LUX);LOT;LO 251;0;;"WAW"
2025-04-17;07:50;Budapeszt (BUD);LOT;LO 533;0;;"WAW"
