Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
22:45;LONDYN (STN);RYR;FR8406;;"WRO"
02:05;MARSA ALAM;ENT;ENT4759;;"WRO"
02:25;ANTALYA;RYS;RR7181;;"WRO"
05:35;WARSZAWA;LOT;LO3850;;"WRO"
05:45;DUBROWNIK;RYR;FR5965;;"WRO"
05:45;PIZA;RYR;FR771;;"WRO"
05:45;BARCELONA GIRONA;RYR;FR9173;;"WRO"
06:00;AMSTERDAM;KLM;KL1336;;"WRO"
06:00;MONACHIUM;DLH;LH1635;;"WRO"
06:00;MALAGA;WZZ;W61863;;"WRO"
06:05;PORTO;RYR;FR4423;;"WRO"
06:10;FRANKFURT;DLA;EN8769;;"WRO"
06:20;EDYNBURG;RYR;FR1158;;"WRO"
07:50;NEWCASTLE;RYR;FR8309;;"WRO"
08:45;BRUKSELA (CRL);RYR;FR8373;;"WRO"
08:45;WARSZAWA;LOT;LO3852;;"WRO"
09:05;LARNACA;WZZ;W64582;;"WRO"
10:10;LONDYN (STN);RYR;FR8406;;"WRO"
10:20;PODGORICA;RYR;FR4841;;"WRO"
10:35;FRANKFURT;DLA;EN8767;;"WRO"
10:55;LEEDS;RYR;FR4108;;"WRO"
11:10;SHANNON;RYR;FR1173;;"WRO"
12:10;MEDIOLAN (BGY);RYR;FR8845;;"WRO"
12:10;WARSZAWA;LOT;LO3854;;"WRO"
12:35;PALERMO;RYR;FR2026;;"WRO"
12:50;ANTALYA;ENT;ENT7221;;"WRO"
13:15;LONDYN (STN);RYR;FR8408;;"WRO"
13:15;MONACHIUM;DLH;LH1631;;"WRO"
14:00;AMSTERDAM;KLM;KL1338;;"WRO"
14:05;RZYM (CIA);RYR;FR2113;;"WRO"
14:15;ATENY;RYR;FR4937;;"WRO"
14:50;WARSZAWA;LOT;LO3844;;"WRO"
15:00;FRANKFURT;DLA;EN8765;;"WRO"
15:05;MARSA ALAM; ;3Z7144;;"WRO"
15:05;EINDHOVEN;WZZ;W61825;;"WRO"
15:10;OSLO TORP;RYR;FR2110;;"WRO"
15:25;AGADIR;RYR;FR8177;;"WRO"
16:20;EAST MIDLANDS;RYR;FR917;;"WRO"
16:30;MALTA;RYR;FR3463;;"WRO"
16:55;BOLONIA;RYR;FR9191;;"WRO"
17:15;PAFOS;RYR;FR9265;;"WRO"
18:15;BOLONIA;RYR;FR4318;;"WRO"
18:15;WARSZAWA;LOT;LO3848;;"WRO"
18:40;WALENCJA;RYR;FR4307;;"WRO"
18:55;MARSA ALAM;LOT;LO6215;;"WRO"
19:25;LONDYN (LTN);WZZ;W61801;;"WRO"
19:30;DUBLIN;RYR;FR99;;"WRO"
19:40;PARYŻ (BVA);RYR;FR2068;;"WRO"
20:20;ZADAR;RYR;FR8460;;"WRO"
21:30;WARSZAWA;LOT;LO3860;;"WRO"
05:35;WARSZAWA;LOT;LO3850;;"WRO"
05:45;BRINDISI;RYR;FR391;;"WRO"
05:55;PAFOS;RYR;FR9265;;"WRO"
06:00;MONACHIUM;DLH;LH1635;;"WRO"
06:00;KUTAISI;WZZ;W61893;;"WRO"
06:05;SOFIA;RYR;FR3621;;"WRO"
06:05;AMSTERDAM;KLM;KL1336;;"WRO"
06:15;ANTALYA;ENT;ENT4611;;"WRO"
06:20;ALICANTE;RYR;FR9882;;"WRO"
06:30;GLASGOW;RYR;FR7673;;"WRO"
06:40;FRANKFURT;DLA;EN8769;;"WRO"
08:45;WARSZAWA;LOT;LO3852;;"WRO"
08:55;RZYM (CIA);RYR;FR2113;;"WRO"
09:30;PIZA;RYR;FR771;;"WRO"
09:45;LONDYN (STN);RYR;FR8406;;"WRO"
10:45;MARSYLIA;RYR;FR2742;;"WRO"
10:45;GDAŃSK;RYR;FR4105;;"WRO"
10:50;FRANKFURT;DLA;EN8767;;"WRO"
11:55;MEDIOLAN (BGY);RYR;FR8845;;"WRO"
12:10;WARSZAWA;LOT;LO3854;;"WRO"
12:25;BRUKSELA (CRL);RYR;FR8373;;"WRO"
13:15;MONACHIUM;DLH;LH1631;;"WRO"
13:55;ZADAR;RYR;FR8460;;"WRO"
14:00;BARCELONA GIRONA;RYR;FR9173;;"WRO"
14:00;LIZBONA;RYR;FR9981;;"WRO"
14:00;AMSTERDAM;KLM;KL1338;;"WRO"
14:45;BARI;WZZ;W61859;;"WRO"
14:50;NEAPOL;RYR;FR5481;;"WRO"
14:50;WARSZAWA;LOT;LO3844;;"WRO"
14:50;ZURYCH;SWR;LX1377;;"WRO"
15:00;FRANKFURT;DLA;EN8765;;"WRO"
15:00;BOURNEMOUTH;RYR;FR3318;;"WRO"
15:00;CHANIA;RYR;FR8938;;"WRO"
16:55;MONACHIUM;DLH;LH1633;;"WRO"
17:30;MALTA;RYR;FR3463;;"WRO"
17:55;PALMA DE MALLORCA;RYR;FR8031;;"WRO"
18:15;WARSZAWA;LOT;LO3848;;"WRO"
19:30;KOPENHAGA;SAS;SK766;;"WRO"
19:55;PARYŻ (BVA);RYR;FR2068;;"WRO"
19:55;LAMEZIA TERME;RYR;FR4760;;"WRO"
19:55;LONDYN (LTN);WZZ;W61801;;"WRO"
21:20;LONDYN (STN);RYR;FR8533;;"WRO"
21:30;WARSZAWA;LOT;LO3860;;"WRO"
23:40;LONDYN (STN);RYR;FR8408;;"WRO"
