Data;Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
2025-04-15;05:35;WARSZAWA;LOT;LO3850;;"WRO"
2025-04-15;05:45;SHANNON;RYR;FR1173;;"WRO"
2025-04-15;05:50;ALICANTE;RYR;FR9882;;"WRO"
2025-04-15;05:55;PIZA;RYR;FR771;;"WRO"
2025-04-15;06:00;WALENCJA;RYR;FR4307;;"WRO"
2025-04-15;06:00;MONACHIUM;DLH;LH1635;;"WRO"
2025-04-15;06:00;MALAGA;WZZ;W61863;;"WRO"
2025-04-15;06:05;AMSTERDAM;KLM;KL1336;;"WRO"
2025-04-15;06:15;FRANKFURT;DLA;EN8769;;"WRO"
2025-04-15;06:15;PODGORICA;RYR;FR4841;;"WRO"
2025-04-15;06:35;OSLO TORP;RYR;FR2110;;"WRO"
2025-04-15;08:10;DUBROWNIK;RYR;FR5965;;"WRO"
2025-04-15;08:25;BRUKSELA (CRL);RYR;FR8373;;"WRO"
2025-04-15;08:30;GRAN CANARIA;ENT;ENT5057;;"WRO"
2025-04-15;08:45;WARSZAWA;LOT;LO3852;;"WRO"
2025-04-15;09:05;LARNACA;WZZ;W64582;;"WRO"
2025-04-15;10:40;PALERMO;RYR;FR2026;;"WRO"
2025-04-15;10:45;FRANKFURT;DLA;EN8767;;"WRO"
2025-04-15;10:50;BRISTOL;RYR;FR8213;;"WRO"
2025-04-15;10:55;MALTA;RYR;FR3463;;"WRO"
2025-04-15;11:05;WENECJA TREVISO;RYR;FR1880;;"WRO"
2025-04-15;12:05;GDAŃSK;RYR;FR4105;;"WRO"
2025-04-15;12:10;WARSZAWA;LOT;LO3854;;"WRO"
2025-04-15;13:10;PARYŻ (BVA);RYR;FR2068;;"WRO"
2025-04-15;13:15;MONACHIUM;DLH;LH1631;;"WRO"
2025-04-15;13:30;ZADAR;RYR;FR8460;;"WRO"
2025-04-15;14:00;AMSTERDAM;KLM;KL1338;;"WRO"
2025-04-15;14:45;FRANKFURT;DLA;EN8765;;"WRO"
2025-04-15;14:50;NEWCASTLE;RYR;FR8309;;"WRO"
2025-04-15;14:50;WARSZAWA;LOT;LO3844;;"WRO"
2025-04-15;15:05;EINDHOVEN;WZZ;W61825;;"WRO"
2025-04-15;15:30;MALAGA;RYR;FR2582;;"WRO"
2025-04-15;15:40;BOLONIA;RYR;FR9191;;"WRO"
2025-04-15;16:40;LONDYN (STN);RYR;FR8406;;"WRO"
2025-04-15;16:45;PAFOS;RYR;FR9265;;"WRO"
2025-04-15;16:55;MONACHIUM;DLH;LH1633;;"WRO"
2025-04-15;17:00;PORTO;RYR;FR4423;;"WRO"
2025-04-15;17:10;MEDIOLAN (BGY);RYR;FR8845;;"WRO"
2025-04-15;17:30;PALMA DE MALLORCA;RYR;FR8031;;"WRO"
2025-04-15;17:50;RZYM (CIA);RYR;FR2113;;"WRO"
2025-04-15;17:55;EAST MIDLANDS;RYR;FR917;;"WRO"
2025-04-15;18:15;WARSZAWA;LOT;LO3848;;"WRO"
2025-04-15;19:25;LONDYN (LTN);WZZ;W61801;;"WRO"
2025-04-15;19:30;KOPENHAGA;SAS;SK766;;"WRO"
2025-04-15;20:15;SOFIA;RYR;FR3621;;"WRO"
2025-04-15;21:30;WARSZAWA;LOT;LO3860;;"WRO"
2025-04-15;22:10;EDYNBURG;RYR;RK1158;;"WRO"
2025-04-15;22:35;BOLONIA;RYR;FR4318;;"WRO"
2025-04-15;23:35;LONDYN (STN);RYR;FR8408;;"WRO"
2025-04-16;02:10;ANTALYA;ENT;ENT7039;;"WRO"
2025-04-16;05:35;WARSZAWA;LOT;LO3850;;"WRO"
2025-04-16;05:45;MALAGA;RYR;FR2582;;"WRO"
2025-04-16;05:50;MARSYLIA;RYR;FR2743;;"WRO"
2025-04-16;05:50;BRUKSELA (CRL);RYR;FR8373;;"WRO"
2025-04-16;06:00;AMSTERDAM;KLM;KL1336;;"WRO"
2025-04-16;06:00;MONACHIUM;DLH;LH1635;;"WRO"
2025-04-16;06:00;BARCELONA EL PRAT;WZZ;W61811;;"WRO"
2025-04-16;06:10;PARYŻ (BVA);RYR;FR2068;;"WRO"
2025-04-16;06:20;WALENCJA;RYR;FR4307;;"WRO"
2025-04-16;06:40;FRANKFURT;DLA;EN8769;;"WRO"
2025-04-16;08:10;OSLO TORP;RYR;FR2110;;"WRO"
2025-04-16;08:35;MEDIOLAN (BGY);RYR;FR9195;;"WRO"
2025-04-16;08:45;WARSZAWA;LOT;LO3852;;"WRO"
2025-04-16;09:20;MALTA;RYR;FR3463;;"WRO"
2025-04-16;10:05;WENECJA TREVISO;RYR;FR1880;;"WRO"
2025-04-16;10:45;FRANKFURT;DLA;EN8767;;"WRO"
2025-04-16;10:50;ANTALYA;ENT;ENT4765;;"WRO"
2025-04-16;10:55;NEAPOL;RYR;FR5481;;"WRO"
2025-04-16;11:05;MEDIOLAN (BGY);RYR;FR8845;;"WRO"
2025-04-16;11:55;LONDYN (STN);RYR;FR8406;;"WRO"
2025-04-16;12:10;WARSZAWA;LOT;LO3854;;"WRO"
2025-04-16;13:05;BARCELONA GIRONA;RYR;FR9173;;"WRO"
2025-04-16;13:15;MONACHIUM;DLH;LH1631;;"WRO"
2025-04-16;13:25;BARI;WZZ;W61859;;"WRO"
2025-04-16;13:35;WENECJA TREVISO;RYR;FR1800;;"WRO"
